"","species","filo_samps","hnv_samps","total_samps","filo_positive","hnv_positive","positive","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","surveyed","region","tree_species","filo_surv","hnv_surv","both_surv"
"556","myotis bombinus",0,0,0,NA,NA,NA,"myotis bombinus","Myotis_bombinus",FALSE,"311767",FALSE,"","1",0,"Asia","Myotis_bombinus",NA,NA,NA
"558","myotis bucharensis",0,0,0,NA,NA,NA,"myotis bucharensis","Myotis_bucharensis",FALSE,"3613664",FALSE,"","1",0,"Asia","Myotis_bucharensis",NA,NA,NA
"559","myotis californicus",0,0,0,NA,NA,NA,"myotis californicus","Myotis_californicus",FALSE,"235788",FALSE,"","1",0,"NA","Myotis_californicus",NA,NA,NA
"561","myotis chiloensis",0,0,0,NA,NA,NA,"myotis chiloensis","Myotis_chiloensis",FALSE,"175299",FALSE,"","1",0,"LA","Myotis_chiloensis",NA,NA,NA
"563","myotis ciliolabrum",0,0,0,NA,NA,NA,"myotis ciliolabrum","Myotis_ciliolabrum",FALSE,"586288",FALSE,"","2",0,"NA","Myotis_ciliolabrum",NA,NA,NA
"564","myotis cobanensis",0,0,0,NA,NA,NA,"myotis cobanensis","Myotis_cobanensis",FALSE,"3613685",FALSE,"","1",0,"LA","Myotis_cobanensis",NA,NA,NA
"565","myotis csorbai",0,0,0,NA,NA,NA,"myotis csorbai","Myotis_csorbai",FALSE,"964599",FALSE,"","1",0,"Asia","Myotis_csorbai",NA,NA,NA
"569","myotis dominicensis",0,0,0,NA,NA,NA,"myotis dominicensis","Myotis_dominicensis",FALSE,"1022617",FALSE,"","1",0,"LA","Myotis_dominicensis",NA,NA,NA
"570","myotis elegans",0,0,0,NA,NA,NA,"myotis elegans","Myotis_elegans",FALSE,"61869",FALSE,"","1",0,"LA","Myotis_elegans",NA,NA,NA
"572","myotis evotis",0,0,0,NA,NA,NA,"myotis evotis","Myotis_evotis",FALSE,"235790",FALSE,"","1",0,"NA","Myotis_evotis",NA,NA,NA
"574","myotis findleyi",0,0,0,NA,NA,NA,"myotis findleyi","Myotis_findleyi",FALSE,"3613674",FALSE,"","1",0,"LA","Myotis_findleyi",NA,NA,NA
"575","myotis formosus",0,0,0,NA,NA,NA,"myotis formosus","Myotis_formosus",FALSE,"505486",FALSE,"","1",0,"Asia","Myotis_formosus",NA,NA,NA
"576","myotis fortidens",0,0,0,NA,NA,NA,"myotis fortidens","Myotis_fortidens",FALSE,"363081",FALSE,"","1",0,"LA","Myotis_fortidens",NA,NA,NA
"577","myotis frater",0,0,0,NA,NA,NA,"myotis frater","Myotis_frater",FALSE,"434671",FALSE,"","1",0,"Asia","Myotis_frater",NA,NA,NA
"578","myotis gomantongensis",0,0,0,NA,NA,NA,"myotis gomantongensis","Myotis_gomantongensis",FALSE,"76756",FALSE,"","1",0,"Asia","Myotis_gomantongensis",NA,NA,NA
"579","myotis goudoti",0,0,0,NA,NA,NA,"myotis goudoti","Myotis_goudoti",FALSE,"31985",FALSE,"","1",0,"Africa","Myotis_goudoti",NA,NA,NA
"580","myotis grisescens",0,0,0,NA,NA,NA,"myotis grisescens","Myotis_grisescens",FALSE,"213632",FALSE,"","1",0,"NA","Myotis_grisescens",NA,NA,NA
